album,,count,words
808s & Heartbreak,you lose,-0.8999999761581421,you lose
808s & Heartbreak,you lose.,-0.8999999761581421,you lose.
808s & Heartbreak,she�s so paranoid. .,-0.8999999761581421,she�s so paranoid. .
808s & Heartbreak,"oh, how could you be so heartless?. . .",-0.8999999761581421,"oh, how could you be so heartless?. . ."
808s & Heartbreak,and i might see you in my nightmare.,-0.8999999761581421,and i might see you in my nightmare.
808s & Heartbreak,oh you're kidding me.,-0.8999999761581421,oh you're kidding me.
808s & Heartbreak,you must be joking.,-0.8999999761581421,you must be joking.
808s & Heartbreak,oh oh you're kidding me.,-0.8999999761581421,oh oh you're kidding me.
808s & Heartbreak,bad enough that i showed up late.,-0.8999999761581421,bad enough that i showed up late.
808s & Heartbreak,and you just gonna keep hating me. and we just gonna be enemies.,-0.8999999761581421,and you just gonna keep hating me. and we just gonna be enemies.
Graduation,people talk so much shit about me at barbershops.,-0.8999999761581421,people talk so much shit about me at barbershops.
Graduation,so how the hell could you front on me?.,-0.8999999761581421,so how the hell could you front on me?.
Graduation,but everything that i felt was more bogus.,-0.8999999761581421,but everything that i felt was more bogus.
Graduation,"man, killing's some wack shit.",-0.8999999761581421,"man, killing's some wack shit."
Graduation,"'specially in my pastell�, on my bape shit.",-0.8999999761581421,"'specially in my pastell�, on my bape shit."
Graduation,you say he get on your fucking nerves.,-0.8999999761581421,you say he get on your fucking nerves.
Graduation,"i can't study no, yeah my. . . what am i supposed to do now?.",-0.8999999761581421,"i can't study no, yeah my. . . what am i supposed to do now?."
Graduation,you drunk and hot girl. . . we go through too much bullshit.,-0.8999999761581421,you drunk and hot girl. . . we go through too much bullshit.
Graduation,"that's louis vuitton, bitch.",-0.8999999761581421,"that's louis vuitton, bitch."
Graduation,do anybody make real shit anymore?.,-0.8999999761581421,do anybody make real shit anymore?.
Jesus is King,the powers that be done been greedy.,-0.8999999761581421,the powers that be done been greedy.
Jesus is King,"people is lying, we are the truth.",-0.8999999761581421,"people is lying, we are the truth."
Jesus is King,all these people mad at dude.,-0.8999999761581421,all these people mad at dude.
Jesus is King,"a lot of damaged souls, i done damaged those.",-0.800000011920929,"a lot of damaged souls, i done damaged those."
Jesus is King,i'm crooked as vegas.,-0.800000011920929,i'm crooked as vegas.
Jesus is King,i'm just really tryin' not to really do the fool way.,-0.800000011920929,i'm just really tryin' not to really do the fool way.
Jesus is King,nothing worse than a hypocrite.,-0.800000011920929,nothing worse than a hypocrite.
Jesus is King,i was looking at the 'gram and i don't even like likes.,-0.800000011920929,i was looking at the 'gram and i don't even like likes.
Jesus is King,make it seem like nobody love me.,-0.800000011920929,make it seem like nobody love me.
Jesus is King,i'm not tryna lead you to visas.,-0.800000011920929,i'm not tryna lead you to visas.
Kids See Ghosts,i'm still yellin' fuck 'em.,-0.8999999761581421,i'm still yellin' fuck 'em.
Kids See Ghosts,"this the type shit that they couldn't make, watch the fakes.",-0.8999999761581421,"this the type shit that they couldn't make, watch the fakes."
Kids See Ghosts,something was wrong .,-0.8999999761581421,something was wrong .
Kids See Ghosts,you should quit your job to this.,-0.8999999761581421,you should quit your job to this.
Kids See Ghosts,"y'all can't stop me, y'all too sloppy.",-0.800000011920929,"y'all can't stop me, y'all too sloppy."
Kids See Ghosts,"ain't no stoppin' you, no way.",-0.800000011920929,"ain't no stoppin' you, no way."
